,Date_Time,HLAvg,MA,Returns
1027560,2001-01-01,124.23,124.25,-1.1497490672848701e-05
1027562,2001-01-01,124.2,124.24571428571429,-3.4493265193360764e-05
1027564,2001-01-01,124.195,124.24107142857143,-3.736904664805691e-05
1027566,2001-01-01,124.185,124.23535714285715,-4.59945898944381e-05
1027568,2001-01-01,124.2,124.23142857142857,-3.162250775385683e-05
1027570,2001-01-01,124.195,124.22678571428571,-3.737334389799829e-05
1027572,2001-01-01,124.2,124.22285714285715,-3.162468968532475e-05
1027574,2001-01-01,124.185,124.21821428571427,-3.7375922722610064e-05
1027576,2001-01-01,124.19,124.21428571428571,-3.162687191801045e-05
1027578,2001-01-01,124.21000000000001,124.21107142857143,-2.5877275584305094e-05
1027580,2001-01-01,124.21000000000001,124.20821428571428,-2.3002584916550224e-05
1027582,2001-01-01,124.21000000000001,124.20607142857145,-1.725228592806585e-05
1027584,2001-01-01,124.195,124.20321428571428,-2.3003510912036914e-05
1027586,2001-01-01,124.2,124.20035714285714,-2.300404008548012e-05
1027588,2001-01-01,124.215,124.19928571428571,-8.626651464720087e-06
1027590,2001-01-01,124.22,124.20071428571428,1.1502185415487518e-05
1027592,2001-01-01,124.215,124.20214285714285,1.1502053116616382e-05
1027594,2001-01-01,124.19,124.2025,2.8754926078168453e-06
1027596,2001-01-01,124.16,124.19964285714286,-2.3004172382699077e-05
1027598,2001-01-01,124.16499999999999,124.1975,-1.7253476575982253e-05
1027600,2001-01-01,124.155,124.19428571428571,-2.588077303144097e-05
1027602,2001-01-01,124.16999999999999,124.19321428571428,-8.627073193679601e-06
1027604,2001-01-01,124.16499999999999,124.19142857142857,-1.4378620716631108e-05
1027606,2001-01-01,124.16,124.18785714285714,-2.875786168243575e-05
1027608,2001-01-01,124.13499999999999,124.18249999999999,-4.3138343235555124e-05
1027610,2001-01-01,124.115,124.17571428571428,-5.4644573016600736e-05
1027612,2001-01-01,124.11500000000001,124.16999999999999,-4.601879868737355e-05
1027614,2001-01-01,124.15,124.16642857142857,-2.8762824626339686e-05
1027616,2001-01-01,124.15,124.1617857142857,-3.7392908870722556e-05
1027618,2001-01-01,124.14,124.15607142857142,-4.602396123287002e-05
1027620,2001-01-01,124.15,124.15142857142858,-3.739602825832086e-05
1027622,2001-01-01,124.15,124.14857142857143,-2.3013635580167518e-05
1027624,2001-01-01,124.16499999999999,124.14892857142856,2.8767334114828855e-06
1027626,2001-01-01,124.15,124.14785714285713,-8.630225061886256e-06
1027628,2001-01-01,124.16,124.14821428571429,2.876749963084211e-06
1027630,2001-01-01,124.16499999999999,124.14785714285715,-2.8767499629500907e-06
1027632,2001-01-01,124.19,124.14964285714284,1.4383667058343596e-05
1027634,2001-01-01,124.21000000000001,124.15321428571428,2.8766713462676856e-05
1027636,2001-01-01,124.195,124.15750000000001,3.451896385933001e-05
1027638,2001-01-01,124.205,124.16392857142857,5.177621171863327e-05
1027640,2001-01-01,124.185,124.16892857142857,4.026853359788581e-05
1027642,2001-01-01,124.205,124.17285714285715,3.1638424581833665e-05
1027644,2001-01-01,124.175,124.17464285714287,1.4380771183597427e-05
1027646,2001-01-01,124.2,124.17892857142859,3.451300709291045e-05
1027648,2001-01-01,124.17,124.18035714285713,1.1504071003021556e-05
1027650,2001-01-01,124.2,124.18392857142858,2.8759598518191517e-05
1027652,2001-01-01,124.215,124.1875,2.8758771427157245e-05
1027654,2001-01-01,124.235,124.19357142857143,4.888801338787187e-05
1027656,2001-01-01,124.22,124.19785714285715,3.45077469926759e-05
1027658,2001-01-01,124.21000000000001,124.20107142857144,2.5880028814598073e-05
1027660,2001-01-01,124.195,124.20142857142856,2.8755174132365117e-06
1027662,2001-01-01,124.19,124.20000000000002,-1.1502119265405895e-05
1027664,2001-01-01,124.19,124.19964285714285,-2.8755504884222095e-06
1027666,2001-01-01,124.2,124.19928571428571,-2.8755587569429844e-06
1027668,2001-01-01,124.2,124.20035714285714,8.626651464631091e-06
1027670,2001-01-01,124.18,124.19857142857143,-1.4377793785319578e-05
1027672,2001-01-01,124.195,124.2,1.1502251565811249e-05
1027674,2001-01-01,124.195,124.19964285714285,-2.8755504883111872e-06
1027676,2001-01-01,124.19,124.20107142857144,1.1502152340547694e-05
1027678,2001-01-01,124.195,124.20071428571428,-2.8755256820827276e-06
1027680,2001-01-01,124.195,124.19928571428571,-1.1502185415363989e-05
1027682,2001-01-01,124.19,124.19607142857141,-2.588040091768528e-05
1027684,2001-01-01,124.16,124.19178571428571,-3.450824315993891e-05
1027686,2001-01-01,124.16499999999999,124.18857142857142,-2.5881963867382212e-05
1027688,2001-01-01,124.15,124.18535714285714,-2.5882633760652865e-05
1027690,2001-01-01,124.145,124.18214285714285,-2.58833036888969e-05
1027692,2001-01-01,124.11,124.17642857142857,-4.60164163645428e-05
1027694,2001-01-01,124.06,124.16642857142857,-8.053382424975345e-05
1027696,2001-01-01,124.03,124.1542857142857,-9.779979239729518e-05
1027698,2001-01-01,124.01,124.14214285714284,-9.780935813221901e-05
1027700,2001-01-01,124.055,124.13214285714285,-8.05560670661384e-05
1027702,2001-01-01,124.11,124.12607142857144,-4.8912206914056996e-05
1027704,2001-01-01,124.08500000000001,124.11857142857143,-6.042426467670793e-05
1027706,2001-01-01,124.11,124.1125,-4.891755522544342e-05
1027708,2001-01-01,124.11,124.10642857142857,-4.891994826969503e-05
1027710,2001-01-01,124.11,124.10071428571429,-4.6044490496941696e-05
1027712,2001-01-01,124.125,124.09821428571429,-2.01451312821194e-05
1027714,2001-01-01,124.115,124.09464285714286,-2.8779462977228268e-05
1027716,2001-01-01,124.13,124.09321428571427,-1.1512017107159911e-05
1027718,2001-01-01,124.1,124.09,-2.590252305092456e-05
1027720,2001-01-01,124.08,124.08785714285715,-1.7268721453027878e-05
1027722,2001-01-01,124.06,124.08785714285715,0.0
1027724,2001-01-01,124.06,124.09000000000002,1.726872145318926e-05
1027726,2001-01-01,124.055,124.09321428571427,2.59025230508605e-05
1027728,2001-01-01,124.07499999999999,124.09464285714286,1.1512017107056305e-05
1027730,2001-01-01,124.095,124.09357142857142,-8.634000405872146e-06
1027732,2001-01-01,124.07,124.09249999999999,-8.634074952551792e-06
1027734,2001-01-01,124.06,124.08892857142857,-2.8780788250180022e-05
1027736,2001-01-01,124.055,124.08500000000001,-3.1659823830069155e-05
1027738,2001-01-01,124.045,124.08035714285714,-3.7417447760352536e-05
1027740,2001-01-01,124.075,124.07678571428572,-2.8783604860590175e-05
1027742,2001-01-01,124.095,124.07535714285713,-1.1513673927264219e-05
1027744,2001-01-01,124.07,124.07107142857144,-3.454181719065721e-05
1027746,2001-01-01,124.06,124.06821428571428,-2.302854099925379e-05
1027748,2001-01-01,124.07499999999999,124.06785714285715,-2.8786049128193404e-06
1027750,2001-01-01,124.06,124.06785714285715,0.0
1027752,2001-01-01,124.07499999999999,124.06892857142857,8.635789879716631e-06
1027754,2001-01-01,124.08000000000001,124.07071428571429,1.4392817408612926e-05
1027756,2001-01-01,124.08,124.07107142857141,2.8785386233750608e-06
1027758,2001-01-01,124.075,124.06964285714285,-1.1514204210192281e-05
1027760,2001-01-01,124.095,124.07142857142857,1.4392734547865998e-05
1027762,2001-01-01,124.055,124.07107142857144,-2.8785303373697937e-06
1027764,2001-01-01,124.065,124.07178571428572,5.757052389251816e-06
1027766,2001-01-01,124.05000000000001,124.07214285714285,2.8785137655530934e-06
1027768,2001-01-01,124.075,124.07214285714285,0.0
1027770,2001-01-01,124.08,124.07107142857141,-8.635566155044234e-06
1027772,2001-01-01,124.09,124.07249999999999,1.1514071635042228e-05
1027774,2001-01-01,124.08500000000001,124.07428571428571,1.439240311420396e-05
1027776,2001-01-01,124.09,124.07535714285714,8.635342441719188e-06
1027778,2001-01-01,124.09,124.0775,1.727046117926159e-05
1027780,2001-01-01,124.09,124.07857142857142,8.635118740150743e-06
1027782,2001-01-01,124.06,124.07714285714287,-1.1513508223459735e-05
1027784,2001-01-01,124.055,124.07535714285714,-1.4392071695945202e-05
1027786,2001-01-01,124.06,124.07428571428572,-8.635342441729625e-06
1027788,2001-01-01,124.07,124.0725,-1.4392403114167254e-05
1027790,2001-01-01,124.08,124.07428571428571,1.439240311420396e-05
1027792,2001-01-01,124.07,124.07464285714285,2.8784557661149257e-06
1027794,2001-01-01,124.07,124.07607142857144,1.151374020997391e-05
1027796,2001-01-01,124.05,124.07428571428571,-1.4392195975988198e-05
1027798,2001-01-01,124.04499999999999,124.07178571428572,-2.0149422359801064e-05
1027800,2001-01-01,124.035,124.06785714285715,-3.166419830113436e-05
1027802,2001-01-01,124.07,124.06678571428571,-8.635864457338538e-06
1027804,2001-01-01,124.055,124.0642857142857,-2.0150640431341597e-05
1027806,2001-01-01,124.065,124.0625,-1.4393563198683795e-05
1027808,2001-01-01,124.055,124.06000000000002,-2.0151336537996676e-05
1027810,2001-01-01,124.065,124.06035714285713,2.878787224243185e-06
1027812,2001-01-01,124.055,124.06035714285714,2.2204460492503128e-16
1027814,2001-01-01,124.06,124.06035714285713,-1.1102230246251565e-16
1027816,2001-01-01,124.05000000000001,124.05892857142858,-1.1515198622759584e-05
1027818,2001-01-01,124.045,124.05642857142857,-2.0151916663976977e-05
1027820,2001-01-01,124.06,124.0557142857143,-5.757765065773776e-06
1027822,2001-01-01,124.055,124.05464285714285,-8.63670975925086e-06
1027824,2001-01-01,124.055,124.05499999999999,2.8789115411084773e-06
1027826,2001-01-01,124.07,124.05678571428571,1.4394433384909392e-05
1027828,2001-01-01,124.075,124.05964285714286,2.303066244924383e-05
1027830,2001-01-01,124.07499999999999,124.06000000000002,2.878795512034205e-06
1027832,2001-01-01,124.03999999999999,124.05892857142858,-8.636411398447045e-06
1027834,2001-01-01,124.045,124.0575,-1.1515331224328575e-05
1027836,2001-01-01,124.035,124.05607142857141,-1.1515463828784196e-05
1027838,2001-01-01,124.035,124.05392857142859,-1.727344438259885e-05
1027840,2001-01-01,124.05000000000001,124.05357142857143,-2.8789364058296585e-06
1027842,2001-01-01,124.05,124.05285714285715,-5.7578976763493435e-06
1027844,2001-01-01,124.05,124.05285714285715,0.0
1027846,2001-01-01,124.06,124.05392857142859,8.636834082304604e-06
1027848,2001-01-01,124.075,124.05499999999999,8.636759487729975e-06
1027850,2001-01-01,124.07,124.05607142857143,8.63668489493168e-06
1027852,2001-01-01,124.075,124.0575,1.1515463828692221e-05
1027854,2001-01-01,124.095,124.05928571428572,1.439414331134522e-05
1027856,2001-01-01,124.065,124.05857142857143,-5.757632461637557e-06
1027858,2001-01-01,124.07,124.05821428571429,-2.878828662149696e-06
1027860,2001-01-01,124.03999999999999,124.05821428571429,0.0
1027862,2001-01-01,124.055,124.05892857142855,5.7576490365455216e-06
1027864,2001-01-01,124.055,124.06035714285714,1.1515198623002315e-05
1027866,2001-01-01,124.06,124.06214285714285,1.4393811812625515e-05
1027868,2001-01-01,124.065,124.06321428571428,8.636187641435698e-06
1027870,2001-01-01,124.075,124.06500000000001,1.4393480329448598e-05
1027872,2001-01-01,124.08500000000001,124.0675,2.015052441792308e-05
1027874,2001-01-01,124.08500000000001,124.06928571428571,1.439298313321534e-05
1027876,2001-01-01,124.10499999999999,124.07142857142857,1.7271306315725458e-05
1027878,2001-01-01,124.11,124.07428571428571,2.3027944411427654e-05
1027880,2001-01-01,124.08,124.07464285714285,2.8784557661149257e-06
1027882,2001-01-01,124.06,124.07214285714285,-2.0149364360137523e-05
1027884,2001-01-01,124.065,124.07214285714285,0.0
1027886,2001-01-01,124.075,124.07249999999999,2.878505479982511e-06
1027888,2001-01-01,124.065,124.07428571428571,1.439240311420396e-05
1027890,2001-01-01,124.055,124.07428571428572,2.2204460492503128e-16
1027892,2001-01-01,124.045,124.07357142857143,-5.756936388871892e-06
1027894,2001-01-01,124.035,124.07178571428572,-1.4392485971082043e-05
1027896,2001-01-01,124.04499999999999,124.07035714285715,-1.1514137922231082e-05
1027898,2001-01-01,124.03999999999999,124.06785714285715,-2.015006037886028e-05
1027900,2001-01-01,124.04499999999999,124.06499999999998,-2.3029137617536605e-05
1027902,2001-01-01,124.03999999999999,124.0617857142857,-2.5908413758789915e-05
1027904,2001-01-01,124.075,124.05964285714285,-1.7272648761165324e-05
1027906,2001-01-01,124.07,124.05678571428572,-2.3030662449053174e-05
1027908,2001-01-01,124.08500000000001,124.05714285714285,2.8788618130300984e-06
1027910,2001-01-01,124.07,124.05785714285715,5.757698763148484e-06
1027912,2001-01-01,124.08500000000001,124.05928571428572,1.1515298073637254e-05
1027914,2001-01-01,124.06,124.05821428571429,-8.636461123767366e-06
1027916,2001-01-01,124.065,124.05821428571429,0.0
1027918,2001-01-01,124.05,124.05785714285715,-2.8788369498774113e-06
1027920,2001-01-01,124.065,124.0592857142857,1.1515298073637254e-05
1027922,2001-01-01,124.09,124.06321428571428,3.166638598992144e-05
1027924,2001-01-01,124.065,124.06464285714286,1.1514800837337656e-05
1027926,2001-01-01,124.065,124.06642857142856,1.4393314593300113e-05
1027928,2001-01-01,124.08,124.06892857142859,2.0150292395978325e-05
1027930,2001-01-01,124.06,124.07035714285715,1.1514270499009256e-05
1027932,2001-01-01,124.055,124.06892857142859,-1.1514270499041674e-05
1027934,2001-01-01,124.035,124.06642857142856,-2.0150292396055727e-05
1027936,2001-01-01,124.055,124.06428571428572,-1.7272002372382686e-05
1027938,2001-01-01,124.055,124.06321428571428,-8.636113058293648e-06
1027940,2001-01-01,124.075,124.0625,-5.7574501404288675e-06
1027942,2001-01-01,124.06,124.0625,0.0
1027944,2001-01-01,124.07,124.06285714285714,2.8787292137028345e-06
1027946,2001-01-01,124.07499999999999,124.06464285714286,1.4393521763929797e-05
1027948,2001-01-01,124.06,124.06428571428572,-2.8786877789942176e-06
1027950,2001-01-01,124.07,124.06285714285714,-1.1514833985015218e-05
1027952,2001-01-01,124.07,124.06321428571428,2.87872092679999e-06
1027954,2001-01-01,124.08500000000001,124.06464285714287,1.1514800837337656e-05
1027956,2001-01-01,124.095,124.06571428571428,8.636013615923586e-06
1027958,2001-01-01,124.1,124.06857142857143,2.3029005033018337e-05
1027960,2001-01-01,124.09,124.07107142857141,2.0149944372275756e-05
1027962,2001-01-01,124.095,124.07535714285714,3.4541817190999955e-05
1027964,2001-01-01,124.07,124.07642857142856,8.635267873123442e-06
1027966,2001-01-01,124.07,124.0775,8.635193306081989e-06
1027968,2001-01-01,124.055,124.07607142857141,-1.1513607645298327e-05
1027970,2001-01-01,124.07499999999999,124.07714285714285,8.635218161762474e-06
1027972,2001-01-01,124.075,124.0775,2.8783894835486545e-06
1027974,2001-01-01,124.095,124.07892857142858,1.1513475083552557e-05
1027976,2001-01-01,124.08500000000001,124.0807142857143,1.4391657444307384e-05
1027978,2001-01-01,124.1,124.08285714285715,1.7269715539488233e-05
1027980,2001-01-01,124.09,124.0842857142857,1.1512978004457822e-05
1027982,2001-01-01,124.1,124.08535714285713,8.634646519302503e-06
1027984,2001-01-01,124.095,124.08535714285715,2.2204460492503128e-16
1027986,2001-01-01,124.11,124.08607142857143,5.756389592364153e-06
1027988,2001-01-01,124.08000000000001,124.08535714285713,-5.756389592557878e-06
1027990,2001-01-01,124.08,124.08428571428571,-8.634646519173752e-06
1027992,2001-01-01,124.07,124.08428571428571,0.0
1027994,2001-01-01,124.07,124.08428571428571,0.0
1027996,2001-01-01,124.07,124.08535714285713,8.63464651908046e-06
1027998,2001-01-01,124.055,124.08392857142857,-1.1512878593856476e-05
1028000,2001-01-01,124.07,124.08357142857142,-2.8782403590486584e-06
1028002,2001-01-01,124.055,124.08071428571428,-2.3026221110287556e-05
1028004,2001-01-01,124.07,124.07964285714284,-8.63496961218483e-06
1028006,2001-01-01,124.05000000000001,124.07607142857144,-2.8783770560594873e-05
1028008,2001-01-01,124.08,124.07535714285714,-5.756853534226936e-06
1028010,2001-01-01,124.06,124.07249999999999,-2.3027745555988293e-05
1028012,2001-01-01,124.06,124.07000000000001,-2.0149712363448e-05
1028014,2001-01-01,124.045,124.06535714285714,-3.7421971595405265e-05
1028016,2001-01-01,124.03,124.06178571428572,-2.8787084964161274e-05
1028018,2001-01-01,124.025,124.05785714285715,-3.166675063425231e-05
1028020,2001-01-01,124.035,124.05535714285715,-2.0152090708155044e-05
1028022,2001-01-01,124.015,124.05142857142857,-3.166839163703773e-05
1028024,2001-01-01,124.045,124.04964285714287,-1.4395055010848223e-05
1028026,2001-01-01,124.03,124.04785714285715,-1.439526223151863e-05
1028028,2001-01-01,124.035,124.04535714285716,-2.0153715266075316e-05
1028030,2001-01-01,124.025,124.04321428571428,-1.7274936371147067e-05
1028032,2001-01-01,124.04499999999999,124.04142857142858,-1.4396008274938398e-05
1028034,2001-01-01,124.03,124.03999999999999,-1.1516955838495918e-05
1028036,2001-01-01,124.03999999999999,124.03714285714285,-2.3034309605144053e-05
1028038,2001-01-01,124.035,124.03535714285715,-1.4396712942637504e-05
1028040,2001-01-01,124.03,124.03321428571428,-1.7276329126138166e-05
1028042,2001-01-01,123.995,124.02964285714286,-2.879454516324036e-05
1028044,2001-01-01,123.975,124.0257142857143,-3.167495734934394e-05
1028046,2001-01-01,123.965,124.02142857142857,-3.455564322801809e-05
1028048,2001-01-01,123.94,124.01464285714285,-5.4715543979845924e-05
1028050,2001-01-01,123.945,124.00964285714285,-4.031863239735906e-05
1028052,2001-01-01,123.96000000000001,124.00357142857142,-4.896052486659008e-05
1028054,2001-01-01,123.955,123.99821428571428,-4.3202453906053725e-05
1028056,2001-01-01,123.945,123.9917857142857,-5.184540852477963e-05
1028058,2001-01-01,123.94,123.98571428571428,-4.896757627313745e-05
1028060,2001-01-01,123.9,123.97535714285713,-8.353845870643774e-05
1028062,2001-01-01,123.94,123.96892857142858,-5.1854967429351e-05
1028064,2001-01-01,123.94,123.96178571428571,-5.761978434511936e-05
1028066,2001-01-01,123.92500000000001,123.95392857142858,-6.338559766094817e-05
1028068,2001-01-01,123.91499999999999,123.94571428571429,-6.627105729259611e-05
1028070,2001-01-01,123.875,123.93714285714286,-6.915709035821669e-05
1028072,2001-01-01,123.88499999999999,123.93071428571429,-5.187095659856046e-05
1028074,2001-01-01,123.925,123.92785714285715,-2.3054622164572977e-05
1028076,2001-01-01,123.915,123.92607142857142,-1.440940876792116e-05
1028078,2001-01-01,123.89500000000001,123.9225,-2.881944044368788e-05
1028080,2001-01-01,123.89,123.9175,-4.034861201316715e-05
1028082,2001-01-01,123.87,123.91142857142857,-4.899693193728077e-05
1028084,2001-01-01,123.9,123.9082142857143,-2.594052414412926e-05
1028086,2001-01-01,123.89,123.90464285714286,-2.882359384300254e-05
1028088,2001-01-01,123.87,123.9025,-1.729455509805202e-05
1028090,2001-01-01,123.88,123.89821428571427,-3.4590007526869745e-05
1028092,2001-01-01,123.89,123.89464285714287,-2.8825920269276625e-05
1028094,2001-01-01,123.875,123.89107142857142,-2.882675122732906e-05
1028096,2001-01-01,123.805,123.88321428571429,-6.342177790658194e-05
1028098,2001-01-01,123.77000000000001,123.87571428571428,-6.0542722278790384e-05
1028100,2001-01-01,123.745,123.86571428571428,-8.07293318933361e-05
1028102,2001-01-01,123.755,123.85357142857143,-9.803723692778532e-05
1028104,2001-01-01,123.75,123.84178571428572,-9.516298109545055e-05
1028106,2001-01-01,123.78,123.83357142857143,-6.633106993007472e-05
1028108,2001-01-01,123.75,123.82357142857143,-8.075680668908106e-05
1028110,2001-01-01,123.765,123.81607142857145,-6.0571885145184755e-05
1028112,2001-01-01,123.785,123.80785714285715,-6.634484611163246e-05
1028114,2001-01-01,123.815,123.80250000000001,-4.3270749412800754e-05
